Estados Unidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mensual,BM,RESERVES,CURRENCY,M1,M2,M2var,M3,RI,RIva,INFm,TargetLow,TargetUp,Target,Expectativas,CIN,GOB,DEP,TasaPrim,TasaSec,TasaEst,Rendimiento,Multiplicador,FFR,TasaVentanilla,,Trimestral,PIBt,BMt,M1t,M2t,M3t,V,Rit,CINt,GOBt,DEPt,Inflacion,FFRt,Crecimiento,Credito,Tdc,NASDAQ,NASDAQva,PrestamosVentanilla
2000-01,601.9,12.9,589,1126.9,4672.6,5.99,6631.94,58.8497,-15.48119,2.7,1,3,2,3.0803,590.97,,,,,5.65,0.221,7.76,5.45,,,2000-01,10002.2,585.6667,1111.07,4694.33,6680.98,17.0783,176.8516,567.8613,,,3.27,5.68,4.2,10.22,-12.08,4403.29,82.77,0.236
2000-02,578,12.3,565.7,1097.4,4674.4,5.74,6659.65,58.2608,-9.35544,3.2,1,3,2,3.1571,557.19,,,,,5.85,-0.091,8.09,5.73,,,2000-02,10247.7,580.4,1109.3,4765.37,6795.09,17.6563,168.5768,559.368,,,3.27,6.27,5.2,10.47,-11.63,3742.56,45.71,0.512
2000-03,577.1,13.4,563.7,1108.9,4736,6.27,6751.35,59.7411,-5.63776,3.8,1,3,2,3.2389,555.43,,,,,5.925,-0.2717,8.21,5.85,,,2000-03,10318.2,583.8,1095.37,4806.1,6897.75,17.6742,164.9682,559.8543,,,3.5,6.52,4,9.53,-13.79,3882.05,43.36,0.372
2000-04,578.6,13.9,564.7,1125.7,4806.1,6.85,6817.58,55.556,-11.31675,3.1,1,3,2,3.1607,559.96,,,,,6.15,-0.4132,8.31,6.02,,,2000-04,10435.7,591.3,1098.67,4896.3,7055.47,17.6487,165.2883,568.287,,,3.43,6.47,2.9,8.96,-16.24,2812.69,-15.94,0.11
2000-05,580.6,14.6,566,1100.4,4732.3,5.99,6760.98,56.1117,-8.02154,3.2,1,3,2,3.3126,559.73,,,,,6.3,-0.3691,8.15,6.27,,,2001-01,10470.2,597.9,1100.47,5028.43,7330.44,17.5116,165.1109,576.912,,,3.4,5.6,2.2,7.23,-6.55,2254.94,-47.86,0.022
2000-06,582,13.3,568.6,1101.8,4757.7,5.87,6806.73,56.9091,-6.15709,3.7,1,3,2,3.7602,558.41,,,,,6.6167,-0.3845,8.17,6.53,,,2001-02,10599,605.5667,1122.57,5148.63,7571.87,17.5026,161.6976,583.874,,,3.33,4.33,1,7.08,-6.39,2129.09,-42.88,0.15
2000-07,584.2,13.4,570.8,1102.8,4773.9,5.62,6830.46,55.4713,-10.89955,3.7,1,3,2,3.0863,560.74,,,,,6.625,-0.285,8.17,6.54,,,2001-03,10598,628.5333,1159.27,5250.27,7694.59,16.8615,171.4026,606.8753,,,2.67,3.5,0.5,7.26,-1.25,1777.12,-54.15,0.088
2000-08,583.4,13.6,569.8,1094.5,4804.4,5.84,6905.48,54.2867,-11.87696,3.4,1,3,2,3.1235,558.02,,,,,6.55,-0.4026,8.24,6.5,,,2001-04,10660.5,641.8333,1178.9,5390.47,7965.62,16.6095,174.4077,618.6487,,,1.87,2.13,0.2,6.69,3.08,1857.06,-32.19,0.034
2000-09,583.8,13.6,570.2,1088.8,4840,6.25,6957.33,55.2103,-11.47427,3.5,1,3,2,3.1741,560.8,,,,,6.55,-0.2825,8.29,6.52,,,2002-01,10783.5,655.8,1188.97,5480.2,8126.93,16.4433,169.3302,633.276,,,1.23,1.73,1.3,7.11,-4.9,1836.96,-16.5,0.02
2000-10,585.3,13.8,571.5,1092.2,4853.9,6.05,6973.78,54.2115,-12.81589,3.4,1,3,2,3.1062,561.43,,,,,6.6,-0.1738,8.29,6.51,,,2002-02,10887.5,668.6667,1192.53,5523.67,8173.67,16.2824,178.987,646.7447,,,1.3,1.75,1.3,6.16,5.37,1589.06,-25.31,0.184
2000-11,590.3,14.3,575.9,1092.1,4882,5.85,7040.93,54.4764,-11.08606,3.4,1,3,2,3.099,566.83,,,,,6.6,-0.1581,8.27,6.51,,,2002-03,10984,679.8333,1189.5,5615.63,8246.72,16.1569,193.0629,657.7293,,,1.57,1.74,2.1,5.52,10.47,1271.72,-27.82,0.177
2000-12,598.3,14.1,584.3,1111.7,4953,6.19,7151.7,56.6004,-6.44504,3.4,1,3,2,3.1673,576.61,,,,,6.5,-0.1115,8.28,6.4,,,2002-04,11061.4,689.8667,1215.8,5748.93,8475.25,16.0341,197.0496,667.1383,,,2.27,1.44,2,6.28,11.84,1381.35,-25.42,0.04
2001-01,598.7,14.2,584.5,1100.4,4979,6.63,7253.48,56.496,-3.99949,3.7,1,3,2,2.6537,579.37,,,,,5.85,0.401,8.32,5.98,,,2003-01,11174.1,701.8667,1232.03,5832.13,8639.91,15.9205,203.9343,679.7483,5.12,24.05,2.97,1.25,1.7,6.36,22.43,1333.2,-27.26,0.03
2001-02,595.9,13.5,582.4,1089.8,5008,7.15,7323.93,55.4395,-4.84247,3.5,1,3,2,2.6321,574.01,,,,,5.475,0.4421,8.4,5.49,,,2003-02,11312.8,712.7667,1270.3,5956.37,8741.51,15.8717,211.2211,694.2573,7.15,24.76,2,1.25,2,7.59,23.57,1561.01,-1.19,0.768
2001-03,599.1,13.8,585.3,1111.2,5098.3,7.68,7413.93,53.1753,-10.99031,2.9,1,3,2,2.1422,577.36,,,,,5.225,0.5432,8.51,5.31,,,2003-03,11566.7,719.8667,1288.77,6063.67,8876.01,16.0678,212.3405,699.359,5.98,25.43,2.23,1.02,3.2,7.84,14.45,1777.47,40.26,0.174
2001-04,601.7,13.7,588,1126.7,5174.1,7.76,7537.02,53.6849,-3.36804,3.3,1,3,2,2.5592,580.04,,,,,4.9,0.907,8.6,4.8,,,2003-04,11772.2,731.6,1305.07,6074.63,8887.71,16.091,222.3297,708.521,5.19,23.86,1.97,1,4.3,7.52,18.99,1965.28,42.62,0.062
2001-05,605.9,14.5,591.4,1114.7,5111.2,7.97,7545.25,54.2094,-3.39018,3.6,1,3,2,2.7239,584.73,,,,,4.1667,1.1314,8.44,4.21,,,2004-01,11923.4,736.1667,1315.47,6105.47,8999.16,16.1966,222.0548,713.5193,5.41,23.28,1.8,1,4.4,8.25,16.58,2030.06,52.29,0.064
2001-06,609.1,14.2,594.9,1126.3,5160.6,8.42,7633.35,53.8033,-5.45752,3.2,1,3,2,2.7512,586.85,,,,,3.875,1.2043,8.47,3.97,,,2004-02,12112.8,745.6333,1341.43,6252.77,9230.59,16.245,214.4119,723.1637,5.32,25.79,2.8,1.01,4.2,7.88,6.09,1984.89,27.27,0.323
2001-07,616,14.9,601.1,1139.7,5189.2,8.64,7639.28,54.6921,-1.40469,2.7,1,3,2,2.6878,593.38,,,,,3.725,1.1976,8.42,3.77,,,2004-03,12305.3,758.9,1346.83,6304.67,9295.19,16.2147,213.4249,738.3247,4.89,22.17,2.63,1.43,3.5,8.22,8.57,1874.1,5.49,0.236
2001-08,622.4,15,607.4,1144.5,5225,8.71,7654.1,56.8084,4.64511,2.7,1,3,2,2.586,598.89,,,,,3.625,1.2139,8.39,3.65,,,2004-04,12527.2,770.2333,1374.63,6402.7,9396.53,16.2642,224.7371,754.821,4.94,22.91,3.37,1.95,3.4,9.4,8.92,2082.41,5.92,0.043
2001-09,647.2,34.1,613.1,1193.6,5336.6,10.2,7790.4,59.9022,8.49825,2.6,1,3,2,3.1152,628.35,,,,,3.25,1.6129,8.25,3.07,,,2005-01,12767.3,773.8667,1366.07,6424.9,9524.96,16.4981,207.3518,760.2853,4.88,22.69,3.03,2.47,3.9,9.24,4.77,2037.79,0.38,0.052
2001-10,635.2,19.9,615.2,1159.2,5321.7,9.61,7832.28,58.6617,8.20895,2.1,1,3,2,2.2913,613.73,,,,,2.55,1.8409,8.38,2.49,,,2005-02,12922.7,777.5333,1374.4,6493.3,9682.21,16.6201,200.738,764.2493,5.22,21.73,2.93,2.94,3.6,9.6,4.61,2015.61,1.54,0.235
2001-11,639.5,17.3,622.2,1169,5384.7,10.26,7968.7,58.1123,6.67415,1.9,1,3,2,2.0814,616.32,,,,,2.15,1.869,8.42,2.09,,,2005-03,13142.6,784.5,1368.6,6557.8,9836.5,16.7528,185.014,775.1717,4.98,21.2,3.8,3.46,3.4,9.95,-0.3,2162.87,15.43,0.91
